Sub_Div;SD;ICES_Rectangle;Lat_degree;Lat_minute;Lon_degree;Lon_minute;Lat_dec;Lon_dec;Area
22;22;37G0;54;15;10;30;54.25;10.5;209.8999938965
22;22;37G1;54;15;11;30;54.25;11.5;723.299987793
24;24;37G2;54;15;12;30;54.25;12.5;192.3999938965
24;24;37G3;54;15;13;30;54.25;13.5;167.6999969482
24;24;37G4;54;15;14;30;54.25;14.5;875.0999755859
25;25;37G5;54;15;15;30;54.25;15.5;642.200012207
25;25;37G6;54;15;16;30;54.25;16.5;130.6999969482
26;26;37G8;54;15;18;30;54.25;18.5;86
26;26;37G9;54;15;19;30;54.25;19.5;151.6000061035
22;22;38F9;54;45;9;30;54.75;9.5;51.9000015259
22;22;38G0;54;45;10;30;54.75;10.5;735.299987793
22;22;38G1;54;45;11;30;54.75;11.5;173.1999969482
24;24;38G2;54;45;12;30;54.75;12.5;832.9000244141
24;24;38G3;54;45;13;30;54.75;13.5;865.700012207
24;24;38G4;54;45;14;30;54.75;14.5;1034.8000488281
25;25;38G5;54;45;15;30;54.75;15.5;1035.6999511719
25;25;38G6;54;45;16;30;54.75;16.5;940.200012207
25;25;38G7;54;45;17;30;54.75;17.5;471.700012207
26;26;38G8;54;45;18;30;54.75;18.5;624.5999755859
26;26;38G9;54;45;19;30;54.75;19.5;918.200012207
26;26;38H0;54;45;20;30;54.75;20.5;37.7999992371
22;22;39F9;55;15;9;30;55.25;9.5;159.3000030518
22;22;39G0;55;15;10;30;55.25;10.5;201.6999969482
22;22;39G1;55;15;11;30;55.25;11.5;250
23;23;39G2;55;15;12;30;55.25;12.5;130.8999938965
24;24;39G2;55;15;12;30;55.25;12.5;406.1000061035
24;24;39G3;55;15;13;30;55.25;13.5;765
24;24;39G4;55;15;14;30;55.25;14.3000001907;524.799987793
25;25;39G4;55;24;14;48;55.4000015259;14.8000001907;287.299987793
25;25;39G5;55;15;15;30;55.25;15.5;979
25;25;39G6;55;15;16;30;55.25;16.5;1026
25;25;39G7;55;15;17;30;55.25;17.5;1026
26;26;39G8;55;15;18;30;55.25;18.5;1026
26;26;39G9;55;15;19;30;55.25;19.5;1026
26;26;39H0;55;15;20;30;55.25;20.5;881.5999755859
26;26;39H1;55;15;21;30;55.25;21.5;12.8000001907
22;22;40F9;55;45;9;30;55.75;9.5;51.2999992371
22;22;40G0;55;45;10;30;55.75;10.5;538.0999755859
22;22;40G1;55;45;11;30;55.75;11.5;174.5
23;23;40G2;55;45;12;30;55.75;12.5;164
25;25;40G4;55;45;14;30;55.75;14.5;677.200012207
25;25;40G5;55;45;15;30;55.75;15.5;1012.9000244141
25;25;40G6;55;45;16;30;55.75;16.5;1013
25;25;40G7;55;45;17;30;55.75;17.5;1013
26;26;40G8;55;45;18;30;55.75;18.5;1013
26;26;40G9;55;45;19;30;55.75;19.5;1013
26;26;40H0;55;45;20;30;55.75;20.5;1012.0999755859
26;26;40H1;55;45;21;30;55.75;21.5;56.2999992371
21;21;41G0;56;15;10;30;56.25;10.5;108.0999984741
22;22;41G0;56;15;10;30;56.25;10.5;173.1000061035
21;21;41G1;56;15;11;30;56.25;11.5;946.799987793
22;22;41G1;56;15;11;30;56.25;11.5;18
21;21;41G2;56;15;12;30;56.25;12.5;432.299987793
23;23;41G2;56;15;12;30;56.25;12.5;72.3000030518
25;25;41G4;56;15;14;30;56.25;14.5;59.4000015259
25;25;41G5;56;15;15;30;56.25;15.5;190.1999969482
25;25;41G6;56;15;16;30;56.25;16.5;764.4000244141
25;25;41G7;56;15;17;30;56.25;17.5;1000
26;26;41G8;56;15;18;30;56.25;18.5;1000
26;26;41G9;56;15;19;30;56.25;19.5;1000
26;26;41H0;56;15;20;30;56.25;20.5;953.299987793
26;26;41H1;56;15;21;30;56.25;21.5;16.6000003815
21;21;42G1;56;45;11;30;56.75;11.5;884.200012207
21;21;42G2;56;45;12;30;56.75;12.5;606.799987793
27;27;42G6;56;45;16;30;56.75;16.5;266
27;27;42G7;56;45;17;30;56.75;17.5;986.9000244141
28_2;28;42G8;56;45;18;30;56.75;18.5;945.4000244141
28_2;28;42G9;56;45;19;30;56.75;19.5;986.9000244141
28_2;28;42H0;56;45;20;30;56.75;20.5;968.5
28_2;28;42H1;56;45;21;30;56.75;21.5;75
21;21;43G1;57;15;11;30;57.25;11.5;699
21;21;43G2;57;15;12;30;57.25;12.5;107
27;27;43G6;57;15;16;30;57.25;16.5;269.799987793
27;27;43G7;57;15;17;30;57.25;17.5;913.799987793
27;27;43G8;57;15;18;30;57.25;18.5;106.0999984741
28_2;28;43G8;57;15;18;30;57.25;18.5;296.200012207
28_2;28;43G9;57;15;19;30;57.25;19.5;973.700012207
28_2;28;43H0;57;15;20;30;57.25;20.5;973.700012207
28_2;28;43H1;57;15;21;30;57.25;21.5;412.700012207
28_1;28;43H3;57;15;23;30;57.25;23.5;744.299987793
28_1;28;43H4;57;15;24;30;57.25;24.5;261.8999938965
27;27;44G6;57;45;16;30;57.75;16.5;200.8999938965
27;27;44G7;57;45;17;30;57.75;17.5;960.5
27;27;44G8;57;45;18;30;57.75;18.5;456.6000061035
28_2;28;44G8;57;45;18;30;57.75;18.5;68.0999984741
28_2;28;44G9;57;45;19;30;57.75;19.5;876.5999755859
28_2;28;44H0;57;45;20;30;57.75;20.5;960.5
28_2;28;44H1;57;45;21;30;57.75;21.5;824.5999755859
28_1;28;44H2;57;45;22;30;57.75;22.5;627.299987793
28_1;28;44H3;57;45;23;30;57.75;23.5;936.0999755859
